"","date","temp","dew_pt","cond","wind_spd","wind_dir","uvi","humidity","windchill","heatindex","feelslike","rain","snow","pop","mslp"
"1",2017-08-13 01:00:00,16,13,"Mostly Cloudy",27,"NE",1,82,NA,NA,16,0,0,0,1002
"2",2017-08-13 02:00:00,16,12,"Mostly Cloudy",27,"NE",1,79,NA,NA,16,0,0,0,1002
"3",2017-08-13 03:00:00,16,12,"Partly Cloudy",29,"NE",0,81,NA,NA,16,0,0,0,1002
"4",2017-08-13 04:00:00,17,13,"Partly Cloudy",31,"NE",0,77,NA,NA,17,0,0,0,1002
"5",2017-08-13 05:00:00,15,12,"Mostly Cloudy",31,"ENE",0,78,NA,NA,15,0,0,1,1003
"6",2017-08-13 06:00:00,14,11,"Overcast",31,"ENE",0,80,NA,NA,14,0,0,4,1003
"7",2017-08-13 07:00:00,13,11,"Overcast",29,"ENE",0,82,NA,NA,13,0,0,5,1003
"8",2017-08-13 08:00:00,13,11,"Overcast",29,"ENE",0,83,NA,NA,13,0,0,7,1003
"9",2017-08-13 09:00:00,13,10,"Overcast",29,"ENE",0,80,NA,NA,13,0,0,7,1003
"10",2017-08-13 10:00:00,13,9,"Overcast",29,"ENE",0,81,NA,NA,13,0,0,7,1003
"11",2017-08-13 11:00:00,13,9,"Overcast",29,"ENE",0,78,NA,NA,13,0,0,7,1003
"12",2017-08-13 12:00:00,12,10,"Overcast",29,"ENE",0,85,NA,NA,12,0,0,6,1003
"13",2017-08-13 13:00:00,12,9,"Overcast",29,"ENE",0,83,NA,NA,12,0,0,6,1003
"14",2017-08-13 14:00:00,13,10,"Overcast",31,"ENE",0,83,NA,NA,13,0,0,6,1003
"15",2017-08-13 15:00:00,14,11,"Partly Cloudy",32,"ENE",0,79,NA,NA,14,0,0,17,1003
"16",2017-08-13 16:00:00,14,11,"Overcast",31,"ENE",0,80,NA,NA,14,0,0,23,1003
"17",2017-08-13 17:00:00,16,13,"Overcast",31,"ENE",1,83,NA,NA,16,0,0,24,1003
"18",2017-08-13 18:00:00,16,13,"Chance of Rain",32,"ENE",1,80,NA,NA,16,0,0,34,1003
"19",2017-08-13 19:00:00,17,13,"Chance of Rain",34,"ENE",1,78,NA,NA,17,0,0,32,1003
"20",2017-08-13 20:00:00,17,13,"Partly Cloudy",35,"ENE",1,78,NA,NA,17,0,0,24,1003
"21",2017-08-13 21:00:00,18,14,"Partly Cloudy",37,"ENE",1,77,NA,NA,18,0,0,7,1003
"22",2017-08-13 22:00:00,18,13,"Partly Cloudy",37,"ENE",1,73,NA,NA,18,0,0,5,1003
"23",2017-08-13 23:00:00,18,13,"Partly Cloudy",39,"NE",1,70,NA,NA,18,0,0,5,1003
"24",2017-08-14 00:00:00,18,13,"Partly Cloudy",40,"NE",1,70,NA,NA,18,0,0,5,1003
"25",2017-08-14 01:00:00,17,12,"Partly Cloudy",42,"NE",1,73,NA,NA,17,0,0,4,1003
"26",2017-08-14 02:00:00,16,12,"Partly Cloudy",40,"NE",0,73,NA,NA,16,0,0,5,1003
"27",2017-08-14 03:00:00,16,11,"Partly Cloudy",40,"NE",0,73,NA,NA,16,0,0,5,1003
"28",2017-08-14 04:00:00,16,11,"Partly Cloudy",40,"NE",0,75,NA,NA,16,0,0,6,1004
"29",2017-08-14 05:00:00,14,10,"Partly Cloudy",40,"NE",0,74,NA,NA,14,0,0,7,1004
"30",2017-08-14 06:00:00,14,9,"Partly Cloudy",42,"NE",0,74,NA,NA,14,0,0,8,1004
"31",2017-08-14 07:00:00,14,9,"Partly Cloudy",40,"NE",0,74,NA,NA,14,0,0,8,1004
"32",2017-08-14 08:00:00,14,9,"Partly Cloudy",40,"NE",0,75,NA,NA,14,0,0,8,1004
"33",2017-08-14 09:00:00,14,9,"Chance of Rain",39,"NE",0,76,NA,NA,14,0,0,31,1004
"34",2017-08-14 10:00:00,13,9,"Chance of Rain",40,"NE",0,79,NA,NA,13,0,0,37,1004
"35",2017-08-14 11:00:00,14,10,"Chance of Rain",40,"NE",0,76,NA,NA,14,0,0,37,1004
"36",2017-08-14 12:00:00,13,11,"Chance of Rain",42,"NE",0,83,NA,NA,13,0,0,53,1003
